event_id,cap,actual_recalled,candidate_count,split
TR_293,80,1,50,train
TR_294,20,1,20,train
TR_294,40,1,40,train
TR_294,80,1,56,train
TR_295,20,1,20,train
TR_295,40,1,22,train
TR_295,80,1,22,train
TR_296,20,1,20,train
TR_296,40,1,40,train
TR_296,80,1,40,train
TR_297,20,1,20,train
TR_297,40,1,40,train
TR_297,80,1,70,train
TR_298,20,1,20,train
TR_298,40,1,40,train
TR_298,80,1,56,train
TR_299,20,1,20,train
TR_299,40,1,40,train
TR_299,80,1,51,train
TR_300,20,1,20,train
TR_300,40,1,40,train
TR_300,80,1,55,train
TR_301,20,1,20,train
TR_301,40,1,40,train
TR_301,80,1,65,train
TR_302,20,1,20,train
TR_302,40,1,40,train
TR_302,80,1,48,train
TR_303,20,1,20,train
TR_303,40,1,31,train
TR_303,80,1,31,train
TR_304,20,1,20,train
TR_304,40,1,40,train
TR_304,80,1,76,train
TR_305,20,1,20,train
TR_305,40,1,40,train
TR_305,80,1,43,train
TR_306,20,1,20,train
TR_306,40,1,40,train
TR_306,80,1,80,train
TR_308,20,1,20,train
TR_308,40,1,40,train
TR_308,80,1,80,train
TR_309,20,1,20,train
TR_309,40,1,40,train
TR_309,80,1,64,train
TR_310,20,1,20,train
TR_310,40,1,40,train
TR_310,80,1,54,train
TR_311,20,1,20,train
TR_311,40,1,40,train
TR_311,80,1,44,train
TR_312,20,1,6,train
TR_312,40,1,6,train
TR_312,80,1,6,train
TR_313,20,1,20,train
TR_313,40,1,40,train
TR_313,80,1,48,train
TR_314,20,1,20,train
TR_314,40,1,40,train
TR_314,80,1,52,train
TR_315,20,1,20,train
TR_315,40,1,40,train
TR_315,80,1,80,train
TR_316,20,1,20,train
TR_316,40,1,40,train
TR_316,80,1,50,train
TR_317,20,1,20,train
TR_317,40,1,40,train
TR_317,80,1,80,train
TR_318,20,1,20,train
TR_318,40,1,40,train
TR_318,80,1,56,train
TR_319,20,1,20,train
TR_319,40,1,24,train
TR_319,80,1,24,train
TR_320,20,1,20,train
TR_320,40,1,40,train
TR_320,80,1,80,train
TR_321,20,1,20,train
TR_321,40,1,33,train
TR_321,80,1,33,train
TR_322,20,1,20,train
TR_322,40,1,40,train
TR_322,80,1,63,train
TR_323,20,1,20,train
TR_323,40,1,21,train
TR_323,80,1,21,train
TR_324,20,1,17,train
TR_324,40,1,17,train
TR_324,80,1,17,train
TR_325,20,0,20,train
TR_325,40,0,40,train
TR_325,80,1,80,train
TR_326,20,1,20,train
TR_326,40,1,20,train
TR_326,80,1,20,train
TR_327,20,1,20,train
TR_327,40,1,40,train
TR_327,80,1,56,train
TR_328,20,1,20,train
TR_328,40,1,40,train
TR_328,80,1,70,train
TR_329,20,1,20,train
TR_329,40,1,40,train
TR_329,80,1,47,train
TR_330,20,1,14,train
TR_330,40,1,14,train
TR_330,80,1,14,train
TR_331,20,1,14,train
TR_331,40,1,14,train
TR_331,80,1,14,train
TR_332,20,0,20,train
TR_332,40,1,40,train
TR_332,80,1,42,train
TR_333,20,1,20,train
TR_333,40,1,40,train
TR_333,80,1,80,train
TR_334,20,1,10,train
TR_334,40,1,10,train
TR_334,80,1,10,train
TR_335,20,1,20,train
TR_335,40,1,40,train
TR_335,80,1,56,train
TR_336,20,1,20,train
TR_336,40,1,30,train
TR_336,80,1,30,train
TR_338,20,1,20,train
TR_338,40,1,40,train
TR_338,80,1,43,train
TR_339,20,1,17,train
TR_339,40,1,17,train
TR_339,80,1,17,train
TR_340,20,1,20,train
TR_340,40,1,40,train
TR_340,80,1,80,train
TR_341,20,1,19,train
TR_341,40,1,19,train
TR_341,80,1,19,train
TR_342,20,0,20,train
TR_342,40,1,40,train
TR_342,80,1,66,train
TR_343,20,1,13,train
TR_343,40,1,13,train
TR_343,80,1,13,train
TR_344,20,1,20,train
TR_344,40,1,31,train
TR_344,80,1,31,train
TR_345,20,1,20,train
TR_345,40,1,37,train
TR_345,80,1,37,train
TR_346,20,1,20,train
TR_346,40,1,40,train
TR_346,80,1,80,train
TR_347,20,1,15,train
TR_347,40,1,15,train
