rep,model,events,candidate_recall,top1_end_to_end,top3_end_to_end,top5_end_to_end,mrr_end_to_end,conditional_top1,conditional_top5,habit_change_events,change_precision,change_recall,change_f1
38,shuffle,23296,0.9843320741758241,0.2199948489010989,0.5307348901098901,0.6948403159340659,0.42094596429966014,0.2234965766865815,0.7059003096245258,14960,0.8176712032836466,0.9802313535911602,0.89160221428291
39,shuffle,23296,0.9843320741758241,0.2221411401098901,0.5300051510989011,0.696771978021978,0.42222141705671806,0.22567703109327983,0.7078627185905543,14960,0.8188630304777001,0.9810946132596685,0.8926677924832109
40,shuffle,23296,0.9843320741758241,0.22733516483516483,0.529532967032967,0.6978021978021978,0.4253900454276096,0.23095373075748987,0.7089093367057695,14960,0.8174626006904487,0.9811809392265194,0.8918706842435656
41,shuffle,23296,0.9843320741758241,0.23033997252747251,0.5369591346153846,0.6981456043956044,0.42876605808366713,0.23400636692686755,0.7092582094108412,14960,0.8185547718439614,0.9817852209944752,0.8927702331423188
42,shuffle,23296,0.9843320741758241,0.22626201923076922,0.5301768543956044,0.695570054945055,0.4248131863063787,0.22986350355414067,0.7066416641228032,14960,0.8171029919447641,0.9807493093922652,0.8914783427495292
43,shuffle,23296,0.9843320741758241,0.22750686813186813,0.5341689560439561,0.6985748626373627,0.42621616009091357,0.23112816711002573,0.7096943002921808,14960,0.8177835236658766,0.9829074585635359,0.8927745324812797
44,shuffle,23296,0.9843320741758241,0.2244162087912088,0.5331387362637363,0.6976734203296703,0.4239240885066004,0.22798831276438009,0.7087785094413676,14960,0.8162972527078401,0.982389502762431,0.8916748285994124
45,shuffle,23296,0.9843320741758241,0.22368646978021978,0.5354567307692307,0.6973729395604396,0.42449605129989487,0.22724695826610267,0.7084732458244298,14960,0.8167302021146515,0.9802313535911602,0.8910424922509514
46,shuffle,23296,0.9843320741758241,0.22643372252747251,0.5316363324175825,0.6966002747252747,0.4251574025526028,0.23003793990667656,0.7076882822380184,14960,0.817841726618705,0.981353591160221,0.8921676345942552
47,shuffle,23296,0.9843320741758241,0.2212396978021978,0.5323660714285714,0.6979309752747253,0.4223886416030693,0.22476124024246652,0.7090401639701713,14960,0.815319515168902,0.981353591160221,0.890664786304697
48,shuffle,23296,0.9843320741758241,0.22523179945054944,0.5376888736263736,0.7000772664835165,0.4251130377976639,0.22881688543892548,0.7112206183768698,14960,0.8163588011212535,0.9804903314917127,0.8909283445111189
49,shuffle,23296,0.9843320741758241,0.2248025412087912,0.5298763736263736,0.695054945054945,0.42358917680068303,0.2283807945575858,0.7061183550651956,14960,0.8150168688536358,0.9801450276243094,0.8899862825788751
50,shuffle,23296,0.9843320741758241,0.22252747252747251,0.5289320054945055,0.6960851648351648,0.422080855743223,0.22606951288648555,0.7071649731804108,14960,0.8169318263623929,0.9796270718232044,0.8909126594700687
51,shuffle,23296,0.9843320741758241,0.22484546703296704,0.5313358516483516,0.6950120192307693,0.4237184201450908,0.22842440364571978,0.7060747459770617,14960,0.8166894664842681,0.9791954419889503,0.8905900365092451
52,shuffle,23296,0.9843320741758241,0.22321428571428573,0.536615728021978,0.6985748626373627,0.42452293499385135,0.22676725829662903,0.7096943002921808,14960,0.8156171284634761,0.978332182320442,0.8895953530358335
53,shuffle,23296,0.9843320741758241,0.22205528846153846,0.5286744505494505,0.6945398351648352,0.42190711130111475,0.2255898129170119,0.7055950460075879,14960,0.8194143949228329,0.980835635359116,0.8928880157170923
54,shuffle,23296,0.9843320741758241,0.22587568681318682,0.5293183379120879,0.6938100961538461,0.42435932554414857,0.22947102176093498,0.7048536915093105,14960,0.8156857122374364,0.9822168508287292,0.8912387890181334
55,shuffle,23296,0.9843320741758241,0.22364354395604397,0.5311212225274725,0.6941535027472527,0.42306086606848997,0.2272033491779687,0.7052025642143823,14960,0.8167445203018325,0.9810946132596685,0.8914075061767128
56,shuffle,23296,0.9843320741758241,0.22471668956043955,0.5321514423076923,0.6979739010989011,0.42410479678689783,0.22829357638131786,0.7090837730583054,14960,0.8177165921868242,0.9793680939226519,0.8912718988137325
57,shuffle,23296,0.9843320741758241,0.2251459478021978,0.5354567307692307,0.6986177884615384,0.42534739809298844,0.22872966726265753,0.7097379093803149,14960,0.8165552920888123,0.9810082872928176,0.8912591663072036
58,shuffle,23296,0.9843320741758241,0.22278502747252749,0.5293183379120879,0.6963856456043956,0.42218818035449557,0.22633116741528936,0.7074702367973486,14960,0.8157743648629252,0.9812672651933702,0.8909005407947331
59,shuffle,23296,0.9843320741758241,0.22132554945054944,0.530992445054945,0.6956988324175825,0.4216778874904763,0.22484845841873446,0.7067724913872051,14960,0.8168235040586165,0.9816125690607734,0.8916683003332679
60,shuffle,23296,0.9843320741758241,0.22252747252747251,0.5313358516483516,0.6979309752747253,0.42267360891734607,0.22606951288648555,0.7090401639701713,14960,0.8138054363376251,0.9821305248618785,0.8900797997183539
61,shuffle,23296,0.9843320741758241,0.22686298076923078,0.5330099587912088,0.7002489697802198,0.42631231356180294,0.23047403078801623,0.7113950547294056,14960,0.8173118434307095,0.9805766574585635,0.8915312769798289
62,shuffle,23296,0.9843320741758241,0.22699175824175824,0.5327953296703297,0.697501717032967,0.42498064071058866,0.23060485805241812,0.7086040730888317,14960,0.8185027739750702,0.9806629834254144,0.8922750657817226
63,shuffle,23296,0.9843320741758241,0.2208533653846154,0.5332245879120879,0.6981885302197802,0.4223398734935595,0.22436875844926082,0.7093018184989752,14960,0.8140534345677244,0.9810946132596685,0.8898023096496379
64,shuffle,23296,0.9843320741758241,0.22278502747252749,0.5285456730769231,0.6975875686813187,0.4222402007282229,0.22633116741528936,0.7086912912650997,14960,0.8151206203331419,0.9800587016574586,0.8900125431169645
65,shuffle,23296,0.9843320741758241,0.2247596153846154,0.5332675137362637,0.6974158653846154,0.4244790493109283,0.22833718546945184,0.7085168549125638,14960,0.8169237422516938,0.9784185082872928,0.8904077303794485
66,shuffle,23296,0.9843320741758241,0.22578983516483517,0.5333962912087912,0.6975446428571429,0.42447050229425853,0.22938380358466703,0.7086476821769657,14960,0.8147138964577657,0.980835635359116,0.8900900900900901
67,shuffle,23296,0.9843320741758241,0.2203811813186813,0.5273008241758241,0.6917925824175825,0.42066318125349306,0.22388905847978718,0.702804064367014,14960,0.8167889512300388,0.9802313535911602,0.8910774542886291
68,shuffle,23296,0.9843320741758241,0.22630494505494506,0.5303485576923077,0.6949690934065934,0.4245194984315221,0.22990711264227465,0.7060311368889276,14960,0.8181034482758621,0.9830801104972375,0.8930363864491845
69,shuffle,23296,0.9843320741758241,0.22484546703296704,0.5342548076923077,0.6962568681318682,0.4245952021724554,0.22842440364571978,0.7073394095329467,14960,0.8168213540542485,0.9800587016574586,0.8910253894753365
